POI_ID,ADDRESS,"﻿""DESCRIPTION""",NAME,GeoJSON,geo_point_2d
7702,1030 SUNNYSIDE RD,Baseball Field,CLOVERDALE PARK BASEBALL FIELDS,"{""coordinates"": [-76.54833343555826, 44.27859377659565], ""type"": ""Point""}","44.27859377659565,-76.54833343555826"
8006,412 RIDEAU ST,Baseball Field,OPTIMIST BASEBALL FIELDS,"{""coordinates"": [-76.48515700557452, 44.24237744457436], ""type"": ""Point""}","44.24237744457436,-76.48515700557452"
8007,6 KEYES ST,Baseball Field,KEYES PARK BASEBALL FIELD,"{""coordinates"": [-76.5646550478666, 44.2107600501071], ""type"": ""Point""}","44.2107600501071,-76.5646550478666"
7600,40 ALBERT ST,Queen's University,MCNEILL HOUSE,"{""coordinates"": [-76.50005027481437, 44.224021865803714], ""type"": ""Point""}","44.224021865803714,-76.50005027481437"
7307,12 O'KILL ST,Queen's University,QUINTE THOUSAND ISLANDS LODGE,"{""coordinates"": [-76.49103624877101, 44.22325683070907], ""type"": ""Point""}","44.22325683070907,-76.49103624877101"
7601,10 BADER LN,Queen's University,BAN RIGH HALL,"{""coordinates"": [-76.49607749318602, 44.22469449951606], ""type"": ""Point""}","44.22469449951606,-76.49607749318602"
7308,143 UNION ST,Queen's University,GOODES HALL,"{""coordinates"": [-76.49759570304337, 44.22830474633096], ""type"": ""Point""}","44.22830474633096,-76.49759570304337"
7907,200 PRINCESS ST,Gallery,KINGSTON FRAMEWORKS,"{""coordinates"": [-76.4857720667289, 44.231913486409184], ""type"": ""Point""}","44.231913486409184,-76.4857720667289"
7447,170 COLBORNE ST,Television Station,C O G E C O,"{""coordinates"": [-76.49431472430834, 44.23496773923837], ""type"": ""Point""}","44.23496773923837,-76.49431472430834"
7734,409 FRONT RD,Municipal Wastewater Treatment Plant,WEST WASTEWATER TREATMENT PLANT,"{""coordinates"": [-76.55191748794441, 44.21451597100489], ""type"": ""Point""}","44.21451597100489,-76.55191748794441"
8008,196 YONGE ST,Baseball Field,GARRIGAN PARK BASEBALL FIELD,"{""coordinates"": [-76.51928378315858, 44.223023601242026], ""type"": ""Point""}","44.223023601242026,-76.51928378315858"
7226,32 BAGOT ST,Baseball Field,CRICKET FIELD,"{""coordinates"": [-76.48863589314674, 44.22726011297173], ""type"": ""Point""}","44.22726011297173,-76.48863589314674"
7523,53 FOURTH AVE,Baseball Field,KIWANIS PARK BASEBALL FIELD,"{""coordinates"": [-76.50018853675914, 44.24645533322952], ""type"": ""Point""}","44.24645533322952,-76.50018853675914"
7818,836 MUIRFIELD CRES,Baseball Field,BEXLEY GATE BASEBALL FIELD,"{""coordinates"": [-76.56172603644241, 44.25324961883455], ""type"": ""Point""}","44.25324961883455,-76.56172603644241"
7819,1030 SUNNYSIDE RD,Baseball Field,CLOVERDALE PARK BASEBALL FIELD,"{""coordinates"": [-76.54877384757565, 44.279639391676085], ""type"": ""Point""}","44.279639391676085,-76.54877384757565"
7311,2 NORTH ST,Boat Ramp,KINGSTON MARINA BOAT RAMP,"{""coordinates"": [-76.47861947709228, 44.236951656723384], ""type"": ""Point""}","44.236951656723384,-76.47861947709228"
7910,130 RUSSELL ST,Running Track,REGIOPOLIS-NOTRE DAME SECONDARY SCHOOL,"{""coordinates"": [-76.49400869011852, 44.242918909437904], ""type"": ""Point""}","44.242918909437904,-76.49400869011852"
7313,1789 BATH RD,Running Track,FRONTENAC SECONDARY SCHOOL TRACK,"{""coordinates"": [-76.57802177777982, 44.23587385617021], ""type"": ""Point""}","44.23587385617021,-76.57802177777982"
7913,,Town,NAPANEE,"{""coordinates"": [-76.98821362601083, 44.23962272116614], ""type"": ""Point""}","44.23962272116614,-76.98821362601083"
7326,2993 2 HWY,Museum,MACLACHLAN WOODWORKING MUSEUM,"{""coordinates"": [-76.3140067039285, 44.29637462843735], ""type"": ""Point""}","44.29637462843735,-76.3140067039285"
7922,76 ORDNANCE ST,Swimming Pool - Public,ARTILLERY PARK AQUATIC CENTRE,"{""coordinates"": [-76.48470681684852, 44.23427259636089], ""type"": ""Point""}","44.23427259636089,-76.48470681684852"
7923,750 HENDERSON BLVD,Swimming Pool - Private,LAKESHORE SWIMMING POOL,"{""coordinates"": [-76.57805220536306, 44.229034010554656], ""type"": ""Point""}","44.229034010554656,-76.57805220536306"
7736,196 HILLENDALE AV,Energy Distribution,ELECTRICAL SUBSTATION,"{""coordinates"": [-76.5262712044636, 44.247500607469085], ""type"": ""Point""}","44.247500607469085,-76.5262712044636"
7737,876 PALACE RD,Energy Distribution,ELECTRICAL SUBSTATION,"{""coordinates"": [-76.5137561415767, 44.23056357526973], ""type"": ""Point""}","44.23056357526973,-76.5137561415767"
7738,266 DALTON AV,Energy Distribution,ELECTRICAL SUBSTATION,"{""coordinates"": [-76.5098462934143, 44.26757476119401], ""type"": ""Point""}","44.26757476119401,-76.5098462934143"
7823,1030 SUNNYSIDE RD,Arena,CATARAQUI COMMUNITY CENTRE,"{""coordinates"": [-76.55115579175074, 44.279755100492245], ""type"": ""Point""}","44.279755100492245,-76.55115579175074"
8105,7 NAVY WY,Arena,CONSTANTINE ARENA,"{""coordinates"": [-76.46783557307475, 44.23788512638938], ""type"": ""Point""}","44.23788512638938,-76.46783557307475"
7526,417 MONTREAL ST,Recreation Facility,COOK BROTHERS YOUTH CENTRE,"{""coordinates"": [-76.48713953088593, 44.243349013129745], ""type"": ""Point""}","44.243349013129745,-76.48713953088593"
7228,292 MOWAT AVE,Swing Set,WOODLANDS PARK SWING SET,"{""coordinates"": [-76.52205637080279, 44.22644296421105], ""type"": ""Point""}","44.22644296421105,-76.52205637080279"
7233,4075 BATH RD,Basketball Court,COLLINS BAY PUBLIC SCHOOL BASKETBALL COURTS,"{""coordinates"": [-76.61189407818769, 44.24135440719159], ""type"": ""Point""}","44.24135440719159,-76.61189407818769"
7609,,Town,ELGIN,"{""coordinates"": [-76.22201662804693, 44.6080331292808], ""type"": ""Point""}","44.6080331292808,-76.22201662804693"
7610,,Town,WESTPORT,"{""coordinates"": [-76.3970157145782, 44.67803251483429], ""type"": ""Point""}","44.67803251483429,-76.3970157145782"
7611,,Town,SMITHS FALLS,"{""coordinates"": [-76.02101245325265, 44.89703163933762], ""type"": ""Point""}","44.89703163933762,-76.02101245325265"
7613,,Town,SHARBOT LAKE,"{""coordinates"": [-76.6693909769141, 44.78100886960402], ""type"": ""Point""}","44.78100886960402,-76.6693909769141"
7614,,Town,LANARK,"{""coordinates"": [-76.365014221819, 45.01802950048445], ""type"": ""Point""}","45.01802950048445,-76.365014221819"
7615,,Town,LANSDOWNE,"{""coordinates"": [-76.01801124898607, 44.4060301603598], ""type"": ""Point""}","44.4060301603598,-76.01801124898607"
7318,,Town,DELTA,"{""coordinates"": [-76.1230161745249, 44.60903277350883], ""type"": ""Point""}","44.60903277350883,-76.1230161745249"
7319,151 ORDNANCE ST,Outdoor Rink (Staffed),MCBURNEY PARK OUTDOOR RINK,"{""coordinates"": [-76.48762288696052, 44.23596304461707], ""type"": ""Point""}","44.23596304461707,-76.48762288696052"
7320,141 THIRD AVE,Playground,THIRD AVENUE PARK PLAYGROUND,"{""coordinates"": [-76.50480965918453, 44.24489380216525], ""type"": ""Point""}","44.24489380216525,-76.50480965918453"
7916,2400 PERTH RD,Outdoor Rink (Unstaffed),SHANNON'S CORNERS PARK OUTDOOR RINK,"{""coordinates"": [-76.50211392074111, 44.31830792439346], ""type"": ""Point""}","44.31830792439346,-76.50211392074111"
7616,346 COLLEGE ST,Outdoor Rink (Community),COMPTON PARK OUTDOOR RINK,"{""coordinates"": [-76.51068051172355, 44.23470761616324], ""type"": ""Point""}","44.23470761616324,-76.51068051172355"
7622,5 JORENE DR,Park,JORENE PARK,"{""coordinates"": [-76.5733039770319, 44.2129653860246], ""type"": ""Point""}","44.2129653860246,-76.5733039770319"
7329,201 CONACHER DR,Park,MARKERS ACRES PARK,"{""coordinates"": [-76.48993714660594, 44.266492735473605], ""type"": ""Point""}","44.266492735473605,-76.48993714660594"
7925,685 BROCK ST,Park,CHURCHILL PARK,"{""coordinates"": [-76.5078496359627, 44.232796095294994], ""type"": ""Point""}","44.232796095294994,-76.5078496359627"
7626,830 SAFARI DR,Park,RIDGEWOOD PARK,"{""coordinates"": [-76.61365047298631, 44.25129907817692], ""type"": ""Point""}","44.25129907817692,-76.61365047298631"
7949,914 15 HWY,Off-Leash Dog Park,MACLEAN TRAIL PARK (OFF-LEASH DOG PARK),"{""coordinates"": [-76.46085241093517, 44.26057434640339], ""type"": ""Point""}","44.26057434640339,-76.46085241093517"
7368,817 DIVISION ST,FACSFLA,"FAMILY & CHILDREN'S SERVICES OF FRONTENAC,LENNOX & ADDINGTON","{""coordinates"": [-76.49605286787056, 44.25409888368381], ""type"": ""Point""}","44.25409888368381,-76.49605286787056"
7370,100 DAYS RD,Community Garden,LAKESIDE COMMUNITY GARDEN,"{""coordinates"": [-76.5668634808019, 44.21900871008869], ""type"": ""Point""}","44.21900871008869,-76.5668634808019"
7824,355 WATERLOO DR,Basketball Court,ST. MARGUERITE BOURGEOYS PUBLIC SCHOOL BASKETBALL,"{""coordinates"": [-76.55248755797295, 44.25315712385446], ""type"": ""Point""}","44.25315712385446,-76.55248755797295"
7528,1066 HUDSON DR,Basketball Court,BAYRIDGE PUBLIC SCHOOL BASKETBALL,"{""coordinates"": [-76.59298553255435, 44.24876298478948], ""type"": ""Point""}","44.24876298478948,-76.59298553255435"
8106,3513 BREWER'S MILLS RD,Basketball Court,JOHN BREWER PARK BASKETBALL,"{""coordinates"": [-76.28114171603576, 44.41056213312013], ""type"": ""Point""}","44.41056213312013,-76.28114171603576"
7825,19 CRERAR BLVD,Basketball Court,R G SINCLAIR PUBLIC SCHOOL BASKETBALL,"{""coordinates"": [-76.56965401483079, 44.21657619839548], ""type"": ""Point""}","44.21657619839548,-76.56965401483079"
7532,975 OLD COLONY RD,Soccer Field,OLD COLONY PARK SOCCER FIELD 1,"{""coordinates"": [-76.58348242735762, 44.25278058457198], ""type"": ""Point""}","44.25278058457198,-76.58348242735762"
7918,792 HENDERSON BLVD,Outdoor Rink (Unstaffed),HENDERSON PARK OUTDOOR RINK,"{""coordinates"": [-76.5786644917678, 44.2290168761503], ""type"": ""Point""}","44.2290168761503,-76.5786644917678"
7133,400 GORE RD,Trail Access,GREENWOOD PARK TRAIL,"{""coordinates"": [-76.44494543933673, 44.260677864497545], ""type"": ""Point""}","44.260677864497545,-76.44494543933673"
7134,139 ORDNANCE ST,Parking Lot,ORDNANCE LOT,"{""coordinates"": [-76.48719611462909, 44.235192598108675], ""type"": ""Point""}","44.235192598108675,-76.48719611462909"
7707,7 MONTREAL ST,Parking Lot,UPPER ROBERT BRUCE MEMORIAL LOT,"{""coordinates"": [-76.485322590961, 44.23142489562165], ""type"": ""Point""}","44.23142489562165,-76.485322590961"
7627,1280 COVERDALE DR,Park,ROTARY PARK,"{""coordinates"": [-76.60593141656076, 44.23743254490211], ""type"": ""Point""}","44.23743254490211,-76.60593141656076"
7336,550 ARAGON RD,Park,HEMLOCK DOWNS PARK,"{""coordinates"": [-76.46197911860781, 44.306911251638866], ""type"": ""Point""}","44.306911251638866,-76.46197911860781"
7337,1290 WATERSIDE WY,Park,RIVERS EDGE PARK,"{""coordinates"": [-76.45395485630394, 44.272942336738346], ""type"": ""Point""}","44.272942336738346,-76.45395485630394"
7338,1026 KING ST,Park,ELEVATOR BAY PARK,"{""coordinates"": [-76.53443536990632, 44.21796096863936], ""type"": ""Point""}","44.21796096863936,-76.53443536990632"
7341,1388 WOODFIELD CRES,Park,WESTBROOK PARK,"{""coordinates"": [-76.61914963313725, 44.27102335415901], ""type"": ""Point""}","44.27102335415901,-76.61914963313725"
7628,750 INNOVATION DR,Park,JOHN MACHIN FIELDS PARK,"{""coordinates"": [-76.43555166443795, 44.27241197312791], ""type"": ""Point""}","44.27241197312791,-76.43555166443795"
7670,1485 WESTBROOK RD,Driving Range,KINGSTON 1000 ISLANDS INDOOR DRIVING RANGE,"{""coordinates"": [-76.6298535210123, 44.28081434576805], ""type"": ""Point""}","44.28081434576805,-76.6298535210123"
7673,151 ORDNANCE ST,Monument,JOHN BARCLAY MEMORIAL,"{""coordinates"": [-76.4879375296459, 44.23620507579944], ""type"": ""Point""}","44.23620507579944,-76.4879375296459"
7826,535 UNION ST,Soccer Field,QUEEN'S UNIVERSITY - WEST CAMPUS SOCCER FIELD,"{""coordinates"": [-76.51632941544328, 44.22759579460722], ""type"": ""Point""}","44.22759579460722,-76.51632941544328"
